backbone,condition,file,turn,val_t,aro_t,val_s,aro_s,text_emotion,speech_emotion
qwen,multimodal,dissonance_76_full_multimodal.json,3,-0.041678786277770996,0.10568106174468994,-0.15808820724487305,-0.09182518720626831,Neutral,Depressed
qwen,multimodal,dissonance_76_full_multimodal.json,4,0.08247888088226318,0.09781420230865479,-0.031035006046295166,0.07032346725463867,Neutral,Neutral
qwen,multimodal,dissonance_76_full_multimodal.json,5,-0.09618592262268066,0.12321865558624268,-0.0006618499755859375,0.23226547241210938,Angry,Tense
qwen,multimodal,dissonance_76_full_multimodal.json,6,-0.037352681159973145,0.10698485374450684,-0.09771537780761719,0.047028422355651855,Neutral,Neutral
qwen,multimodal,dissonance_76_full_multimodal.json,7,-0.013440608978271484,0.10439276695251465,-0.004455208778381348,0.3027772903442383,Neutral,Tense
qwen,multimodal,dissonance_76_full_multimodal.json,8,-0.04142189025878906,0.10311710834503174,0.12669718265533447,0.21088898181915283,Neutral,Excited
qwen,multimodal,dissonance_76_full_multimodal.json,9,-0.03899085521697998,0.2008904218673706,-0.15437060594558716,0.040013670921325684,Tense,Sad
qwen,multimodal,dissonance_76_full_multimodal.json,10,0.01943075656890869,0.10019993782043457,0.1779717206954956,0.1890016794204712,Neutral,Excited
qwen,multimodal,dissonance_77_full_multimodal.json,1,-0.21358954906463623,0.18429279327392578,-0.17273986339569092,0.12896382808685303,Angry,Angry
qwen,multimodal,dissonance_77_full_multimodal.json,2,-0.029417753219604492,0.220847487449646,-0.23713237047195435,0.09678637981414795,Tense,Sad
qwen,multimodal,dissonance_77_full_multimodal.json,3,-0.10372912883758545,0.12309861183166504,-0.14304280281066895,0.06945681571960449,Angry,Angry
qwen,multimodal,dissonance_77_full_multimodal.json,4,-0.08633184432983398,0.1533946990966797,-0.09217792749404907,0.21374750137329102,Angry,Angry
qwen,multimodal,dissonance_77_full_multimodal.json,5,-0.07172060012817383,0.07513070106506348,-0.12264090776443481,0.2004711627960205,Neutral,Angry
qwen,multimodal,dissonance_77_full_multimodal.json,6,-0.22043156623840332,0.14452135562896729,-0.22135579586029053,0.056328773498535156,Angry,Sad
qwen,multimodal,dissonance_77_full_multimodal.json,7,0.05978715419769287,0.09893572330474854,0.10194885730743408,0.09220707416534424,Neutral,Neutral
qwen,multimodal,dissonance_77_full_multimodal.json,8,0.08646094799041748,0.05002284049987793,0.12772631645202637,0.11201143264770508,Neutral,Excited
qwen,multimodal,dissonance_77_full_multimodal.json,9,0.13115334510803223,0.14752256870269775,0.11863946914672852,0.15112388134002686,Excited,Excited
qwen,multimodal,dissonance_77_full_multimodal.json,10,0.2822299003601074,0.1291137933731079,0.2293252944946289,0.05376279354095459,Excited,Happy
qwen,multimodal,dissonance_78_full_multimodal.json,1,0.03212463855743408,0.22955262660980225,0.059459567070007324,-0.03324437141418457,Tense,Neutral
qwen,multimodal,dissonance_78_full_multimodal.json,2,-0.024407148361206055,0.2501688003540039,-0.0337601900100708,0.07764768600463867,Tense,Neutral
qwen,multimodal,dissonance_78_full_multimodal.json,3,-0.2097165584564209,0.1393347978591919,-0.17181086540222168,0.49263644218444824,Angry,Tense
qwen,multimodal,dissonance_78_full_multimodal.json,4,-0.01999664306640625,0.08517956733703613,0.12881040573120117,0.09788775444030762,Neutral,Excited
qwen,multimodal,dissonance_78_full_multimodal.json,5,-0.14720451831817627,0.1341949701309204,-0.027791500091552734,0.15755760669708252,Angry,Tense
qwen,multimodal,dissonance_78_full_multimodal.json,6,0.16122066974639893,0.11955404281616211,0.5030548572540283,0.28793203830718994,Excited,Excited
qwen,multimodal,dissonance_78_full_multimodal.json,7,-0.09894275665283203,0.10407805442810059,-0.3315768837928772,0.17601728439331055,Neutral,Angry
qwen,multimodal,dissonance_78_full_multimodal.json,8,0.08619320392608643,0.06688094139099121,0.2513575553894043,0.017105698585510254,Neutral,Happy
qwen,multimodal,dissonance_78_full_multimodal.json,9,0.16702425479888916,0.1314941644668579,0.2701230049133301,0.18149495124816895,Excited,Excited
